loan_id,user_id,loan_amount,origination_date,term_months,age,annual_income,credit_score,employment_status,is_default,origination_month,cohort_type
101,906,5000,2024-03-13,36,34,113556.13986890748,300,Contractor,0,2024-03,Bad
102,8142,5000,2024-10-25,24,67,123601.34447081565,649,Employed,0,2024-10,Bad
103,1883,25000,2024-04-14,12,62,20000.0,667,Employed,1,2024-04,Good
104,492,10000,2024-10-18,12,18,63303.21545751295,690,Employed,0,2024-10,Bad
105,7812,15000,2024-08-19,12,32,65771.23731892348,434,Employed,1,2024-08,Good
106,8733,10000,2024-04-10,24,56,127132.84811334216,660,Employed,0,2024-04,Good
107,2887,10000,2024-09-15,12,25,82345.58634647756,822,Contractor,1,2024-09,Bad
108,6133,25000,2024-10-18,36,59,88540.47533878728,846,Employed,0,2024-10,Bad
109,456,10000,2024-04-21,24,23,44961.81024738646,743,Employed,1,2024-04,Good
110,651,5000,2024-02-14,12,33,97887.7072735026,423,Employed,0,2024-02,Good
111,9505,15000,2024-04-09,24,23,43790.83658942273,388,Self-Employed,0,2024-04,Good
112,1305,15000,2024-06-05,24,26,75420.03936207785,827,Employed,0,2024-06,Bad
113,4513,15000,2024-08-12,36,23,69249.36349373174,773,Employed,1,2024-08,Good
114,3610,10000,2024-03-13,24,39,40723.44927230667,597,Employed,0,2024-03,Bad
115,8996,15000,2024-03-09,36,22,65514.754430866975,737,Employed,0,2024-03,Bad
116,8990,15000,2024-06-20,36,20,69819.96981265672,744,Employed,1,2024-06,Bad
117,3385,5000,2024-08-11,12,27,85912.10344912353,617,Employed,0,2024-08,Good
118,4705,25000,2024-02-18,12,54,75192.24342092943,638,Employed,1,2024-02,Good
119,5728,25000,2024-08-23,24,61,48202.06723837524,800,Employed,0,2024-08,Good
120,9273,5000,2024-04-18,12,33,79423.01026710731,554,Employed,0,2024-04,Good
121,9506,5000,2024-09-29,24,31,50416.4266780378,422,Employed,1,2024-09,Bad
122,2646,25000,2024-06-06,36,68,54915.50635078293,331,Employed,0,2024-06,Bad
123,7117,10000,2024-08-26,24,45,62482.60317957058,621,Employed,1,2024-08,Good
124,5430,5000,2024-01-04,36,62,51939.63179056227,686,Employed,1,2024-01,Bad
125,2054,15000,2024-07-22,36,39,77015.21483368368,372,Employed,0,2024-07,Good
126,3515,5000,2024-03-24,24,64,88132.04731792078,798,Employed,1,2024-03,Bad
127,310,10000,2024-08-01,36,41,63967.68282481793,667,Employed,0,2024-08,Good
128,8977,5000,2024-12-24,12,64,67815.917045641,615,Employed,0,2024-12,Bad
129,5001,15000,2024-03-02,24,18,35019.89187260892,698,Employed,1,2024-03,Bad
130,5122,5000,2024-02-27,12,55,67760.45117365298,444,Employed,1,2024-02,Good
131,5723,5000,2024-06-20,36,27,69572.8640905064,420,Employed,1,2024-06,Bad
132,6898,5000,2024-11-09,36,60,43942.60708074828,399,Employed,1,2024-11,Good
133,5495,25000,2024-12-27,24,52,89015.33081258714,793,Contractor,0,2024-12,Bad
134,7640,25000,2024-09-08,36,40,51878.513491889134,732,Employed,1,2024-09,Bad
135,9807,10000,2024-11-23,12,38,95080.31955730714,745,Employed,0,2024-11,Good
136,9015,25000,2024-05-16,24,63,94405.64266896324,664,Employed,0,2024-05,Bad
137,9520,10000,2024-08-25,24,67,32577.184668200436,388,Employed,1,2024-08,Good
138,58,25000,2024-01-06,12,64,29998.23192042477,334,Employed,0,2024-01,Bad
139,1249,10000,2024-10-01,36,28,72549.02250429412,744,Employed,0,2024-10,Bad
140,9642,10000,2024-03-26,36,56,94676.27876665955,378,Employed,1,2024-03,Bad
141,6037,10000,2024-05-27,24,29,39408.50634673214,705,Employed,0,2024-05,Bad
142,518,5000,2024-03-04,12,66,72787.27146994475,714,Self-Employed,0,2024-03,Bad
143,2078,5000,2024-06-03,24,43,67428.89467715619,371,Employed,1,2024-06,Bad
144,8343,10000,2024-05-14,24,52,91109.65129691447,714,Employed,0,2024-05,Bad
145,2158,10000,2024-04-27,36,37,45435.21593629667,687,Employed,1,2024-04,Good
146,6385,5000,2024-01-24,24,32,72023.21242369566,377,Employed,0,2024-01,Bad
147,3674,15000,2024-09-20,12,19,69531.34870862626,572,Employed,0,2024-09,Bad
148,8098,5000,2024-11-18,12,34,43037.530225762384,648,Employed,1,2024-11,Good
149,5150,10000,2024-01-11,12,69,88640.83568919075,791,Employed,0,2024-01,Bad
150,2514,5000,2024-12-21,12,41,20000.0,555,Employed,0,2024-12,Bad
151,6609,25000,2024-03-06,36,32,44654.65895177677,632,Employed,0,2024-03,Bad
152,1395,10000,2024-09-19,36,51,87755.39459161863,780,Employed,0,2024-09,Bad
153,1706,5000,2024-01-24,36,22,58499.093745488884,477,Employed,0,2024-01,Bad
154,9365,25000,2024-11-14,36,56,103016.60432452965,317,Employed,1,2024-11,Good
155,2422,5000,2024-11-23,12,29,73474.8378452355,447,Employed,0,2024-11,Good
156,8792,5000,2024-05-20,12,41,64216.47118325694,643,Employed,1,2024-05,Bad
157,3505,15000,2024-08-18,24,44,105753.24912186025,791,Employed,1,2024-08,Good
158,2300,5000,2024-03-28,24,37,56026.04037051466,403,Self-Employed,0,2024-03,Bad
159,4016,5000,2024-04-25,36,61,72612.30504200362,630,Self-Employed,0,2024-04,Good
160,1497,15000,2024-10-06,24,54,87663.60392774909,801,Employed,0,2024-10,Bad
161,6707,5000,2024-02-07,36,42,57310.565260906405,609,Employed,0,2024-02,Good
162,6772,15000,2024-07-17,36,65,106964.34910871893,723,Employed,0,2024-07,Good
163,7707,25000,2024-09-22,36,68,24834.93161604985,716,Employed,0,2024-09,Bad
164,8627,15000,2024-06-06,24,29,36927.471098079186,553,Employed,0,2024-06,Bad
165,2659,25000,2024-08-18,24,25,80247.00117976047,673,Employed,0,2024-08,Good
166,2324,15000,2024-12-09,36,47,68920.57540245482,318,Self-Employed,1,2024-12,Bad
167,2896,25000,2024-10-09,12,36,39528.251073331616,391,Employed,1,2024-10,Bad
168,1532,5000,2024-10-12,24,19,73286.77240827239,305,Employed,1,2024-10,Bad
169,782,25000,2024-05-07,12,44,28036.326575030027,710,Contractor,1,2024-05,Bad
170,1426,25000,2024-07-25,36,21,86424.38842456965,657,Employed,0,2024-07,Good
171,4929,10000,2024-09-14,36,20,50919.75664893449,428,Employed,1,2024-09,Bad
172,2552,25000,2024-09-20,24,27,41891.06665924061,631,Employed,0,2024-09,Bad
173,7424,5000,2024-05-24,24,24,47977.27927160764,480,Employed,0,2024-05,Bad
174,557,10000,2024-02-17,24,41,73545.63034887417,762,Employed,0,2024-02,Good
175,8705,10000,2024-03-04,36,37,49816.92386322712,711,Employed,1,2024-03,Bad
176,6439,15000,2024-07-07,12,33,74513.00763290757,477,Employed,1,2024-07,Good
177,6519,25000,2024-05-20,12,43,61021.263211556805,731,Self-Employed,0,2024-05,Bad
178,5787,15000,2024-08-15,24,30,66644.61723686874,587,Employed,0,2024-08,Good
179,4152,15000,2024-04-16,24,31,35505.58126563729,776,Self-Employed,0,2024-04,Good
180,6094,25000,2024-05-09,24,54,71207.6368933996,715,Employed,0,2024-05,Bad
181,2900,15000,2024-12-05,12,18,90380.52229535763,384,Self-Employed,1,2024-12,Bad
