loan_id,user_id,loan_amount,origination_date,term_months
101,906,5000,2024-03-13,36
102,8142,5000,2024-10-25,24
103,1883,25000,2024-04-14,12
104,492,10000,2024-10-18,12
105,7812,15000,2024-08-19,12
106,8733,10000,2024-04-10,24
107,2887,10000,2024-09-15,12
108,6133,25000,2024-10-18,36
109,456,10000,2024-04-21,24
110,651,5000,2024-02-14,12
111,9505,15000,2024-04-09,24
112,1305,15000,2024-06-05,24
113,4513,15000,2024-08-12,36
114,3610,10000,2024-03-13,24
115,8996,15000,2024-03-09,36
116,8990,15000,2024-06-20,36
117,3385,5000,2024-08-11,12
118,4705,25000,2024-02-18,12
119,5728,25000,2024-08-23,24
120,9273,5000,2024-04-18,12
121,9506,5000,2024-09-29,24
122,2646,25000,2024-06-06,36
123,7117,10000,2024-08-26,24
124,5430,5000,2024-01-04,36
125,2054,15000,2024-07-22,36
126,3515,5000,2024-03-24,24
127,310,10000,2024-08-01,36
128,8977,5000,2024-12-24,12
129,5001,15000,2024-03-02,24
130,5122,5000,2024-02-27,12
131,5723,5000,2024-06-20,36
132,6898,5000,2024-11-09,36
133,5495,25000,2024-12-27,24
134,7640,25000,2024-09-08,36
135,9807,10000,2024-11-23,12
136,9015,25000,2024-05-16,24
137,9520,10000,2024-08-25,24
138,58,25000,2024-01-06,12
139,1249,10000,2024-10-01,36
140,9642,10000,2024-03-26,36
141,6037,10000,2024-05-27,24
142,518,5000,2024-03-04,12
143,2078,5000,2024-06-03,24
144,8343,10000,2024-05-14,24
145,2158,10000,2024-04-27,36
146,6385,5000,2024-01-24,24
147,3674,15000,2024-09-20,12
148,8098,5000,2024-11-18,12
149,5150,10000,2024-01-11,12
150,2514,5000,2024-12-21,12
151,6609,25000,2024-03-06,36
152,1395,10000,2024-09-19,36
153,1706,5000,2024-01-24,36
154,9365,25000,2024-11-14,36
155,2422,5000,2024-11-23,12
156,8792,5000,2024-05-20,12
157,3505,15000,2024-08-18,24
158,2300,5000,2024-03-28,24
159,4016,5000,2024-04-25,36
160,1497,15000,2024-10-06,24
161,6707,5000,2024-02-07,36
162,6772,15000,2024-07-17,36
163,7707,25000,2024-09-22,36
164,8627,15000,2024-06-06,24
165,2659,25000,2024-08-18,24
166,2324,15000,2024-12-09,36
167,2896,25000,2024-10-09,12
168,1532,5000,2024-10-12,24
169,782,25000,2024-05-07,12
170,1426,25000,2024-07-25,36
171,4929,10000,2024-09-14,36
172,2552,25000,2024-09-20,24
173,7424,5000,2024-05-24,24
174,557,10000,2024-02-17,24
175,8705,10000,2024-03-04,36
176,6439,15000,2024-07-07,12
177,6519,25000,2024-05-20,12
178,5787,15000,2024-08-15,24
179,4152,15000,2024-04-16,24
180,6094,25000,2024-05-09,24
181,2900,15000,2024-12-05,12
182,6735,5000,2024-05-30,24
183,5017,5000,2024-07-31,24
184,6510,25000,2024-08-10,36
185,2961,25000,2024-01-16,24
186,4944,10000,2024-05-20,36
187,9445,25000,2024-09-14,12
188,8917,25000,2024-04-23,24
189,1307,5000,2024-11-16,12
190,760,5000,2024-01-26,12
191,5239,25000,2024-10-12,12
192,227,10000,2024-02-07,12
193,4798,5000,2024-01-25,12
194,8500,5000,2024-02-21,36
195,3379,15000,2024-12-04,36
196,6713,25000,2024-03-31,12
197,9710,15000,2024-05-17,12
198,9724,25000,2024-07-27,24
199,5209,10000,2024-03-01,12
200,7443,15000,2024-04-20,36
201,4749,5000,2024-09-14,36
202,8989,25000,2024-12-02,36
203,7046,25000,2024-05-14,36
204,7625,15000,2024-02-29,12
205,1780,15000,2024-07-07,36
206,7064,10000,2024-12-01,36
207,586,5000,2024-04-22,36
208,1379,10000,2024-01-27,24
209,5708,5000,2024-01-01,12
210,5443,5000,2024-08-01,36
211,6930,25000,2024-03-26,36
212,6421,5000,2024-06-03,12
213,4032,15000,2024-03-20,36
214,7443,25000,2024-02-29,36
215,6361,10000,2024-11-04,36
216,1848,5000,2024-02-05,24
217,1042,25000,2024-10-17,36
218,4840,15000,2024-10-15,36
219,7352,10000,2024-11-20,12
220,7786,25000,2024-12-28,12
221,243,25000,2024-06-23,24
222,5546,15000,2024-12-19,12
223,2101,15000,2024-12-17,12
224,9442,5000,2024-03-29,24
225,1738,10000,2024-02-28,36
226,2755,25000,2024-03-01,12
227,1393,15000,2024-08-29,12
228,8440,15000,2024-10-09,24
229,7736,25000,2024-08-12,12
230,7644,15000,2024-08-09,12
231,9878,15000,2024-03-30,36
232,4017,5000,2024-01-15,24
233,3433,25000,2024-12-30,36
234,4527,5000,2024-07-03,36
235,7785,10000,2024-07-22,36
236,2082,15000,2024-02-10,24
237,9540,5000,2024-06-19,12
238,5576,25000,2024-09-24,36
239,5345,10000,2024-07-14,24
240,4737,10000,2024-09-06,12
241,133,5000,2024-07-13,24
242,1855,5000,2024-08-17,36
243,6051,15000,2024-04-05,24
244,5078,5000,2024-08-05,36
245,5341,5000,2024-01-04,24
246,8593,5000,2024-01-05,36
247,606,10000,2024-02-15,12
248,132,25000,2024-11-26,24
249,7072,5000,2024-05-05,24
250,6158,10000,2024-05-16,12
251,6579,10000,2024-05-15,36
252,6614,5000,2024-11-09,36
253,4507,10000,2024-12-24,36
254,804,15000,2024-11-14,12
255,5193,25000,2024-07-07,24
256,4290,15000,2024-05-22,24
257,3634,25000,2024-03-13,24
258,2677,10000,2024-06-26,12
259,1216,5000,2024-12-15,36
260,2478,5000,2024-08-13,36
261,2265,10000,2024-10-04,36
262,7791,5000,2024-08-25,24
263,970,10000,2024-04-03,12
264,6629,15000,2024-11-25,36
265,601,10000,2024-07-15,36
266,4456,10000,2024-03-04,24
267,5942,15000,2024-05-29,36
268,9525,15000,2024-05-20,24
269,2717,10000,2024-08-18,36
270,782,15000,2024-09-01,24
271,1435,25000,2024-10-29,24
272,4339,15000,2024-12-12,36
273,9209,5000,2024-10-03,24
274,2703,15000,2024-01-31,36
275,3992,15000,2024-02-07,36
276,8652,10000,2024-02-08,12
277,7533,15000,2024-06-12,36
278,7246,25000,2024-12-21,36
279,3641,10000,2024-09-23,12
280,532,25000,2024-03-09,12
281,1978,5000,2024-10-16,24
282,3765,10000,2024-08-16,12
283,291,10000,2024-09-17,12
284,6078,5000,2024-01-20,24
285,7869,5000,2024-03-03,12
286,3576,25000,2024-10-27,36
287,4650,15000,2024-06-18,12
288,6615,10000,2024-01-13,24
289,513,10000,2024-05-16,36
290,1640,25000,2024-08-11,24
291,8447,10000,2024-04-03,12
292,4817,5000,2024-06-25,36
293,5850,10000,2024-12-13,12
294,2638,15000,2024-12-22,24
295,1966,5000,2024-06-04,24
296,51,25000,2024-04-30,12
297,800,25000,2024-06-19,24
298,8292,10000,2024-07-16,12
299,9940,5000,2024-06-17,24
300,6643,5000,2024-06-20,24
301,237,5000,2024-06-05,24
302,472,10000,2024-11-19,24
303,2205,10000,2024-07-28,36
304,7182,25000,2024-10-07,36
305,6260,15000,2024-07-14,12
306,8331,5000,2024-09-26,12
307,1384,10000,2024-07-05,12
308,4502,10000,2024-03-02,12
309,1713,15000,2024-05-24,24
310,9143,10000,2024-08-13,24
311,6711,10000,2024-04-26,24
312,3797,10000,2024-07-24,12
313,2374,5000,2024-12-21,36
314,9550,15000,2024-03-06,12
315,4425,25000,2024-10-27,36
316,5420,15000,2024-11-22,36
317,1700,15000,2024-01-28,24
318,4111,25000,2024-11-10,24
319,3373,25000,2024-09-20,12
320,8826,10000,2024-08-08,12
321,5582,10000,2024-01-10,36
322,9321,10000,2024-10-03,36
323,2387,5000,2024-10-17,24
324,8584,5000,2024-01-04,36
325,169,15000,2024-06-29,36
326,3966,5000,2024-03-25,12
327,3209,5000,2024-01-25,12
328,9378,25000,2024-01-20,36
329,8173,10000,2024-07-17,36
330,2728,25000,2024-07-17,36
331,3510,10000,2024-04-05,12
